fr,en,de,it
désactiver programme startrl,deactivate program start rl,programm start deaktivieren,disattivare partenza programma rl
désactivé,disabled,deaktiviert,disattivato
désalignement,misalignment,Fehlausrichtung,disallineamento
désignation,description,bezeichnung,designazione
désignation remède,designation remedy,Bezeichnung Abhilfe,designazione rimedio
désélectionner l'opération à enlever,deselect the operation to remove,die zu entfernende Operation deaktivieren,deselezionare l'operazione da rimuovere
détails,details,Details,dettagli
détalonnage diamètre,diameter relief,ad Freiwinkel,scarico diametrale
détecteur,detector,Detektor,rilevatore
détecteur présence clou,nail detector,Nageldetektor,rilevatore di chiodi
détecteur thermique,heat detector,Wärmemelder,rilevatore termico
détecteurs,detectors,Detektoren,rivelatori
détection,detection,Erkennung,rilevamento
développement,development,Entwicklung,sviluppo
déverouiller les paramètres fanuc,unlock the fanuc parameters,die fanuc parameter entsperren,sbloccare i parametri fanuc
déverrouillage contre pointe,tailstock unlocking,Entriegelung Reitstock,sbloccaggio contropunta
déverrouillage des portes,door unlocking,Entriegelung der Türen,sblocco delle porte
déverrouiller,unlock,entriegeln,sbloccare
déverrouiller les portes,unlock the doors,die türen entriegeln,sbloccare le porte
déverrouillez,unlock,entriegeln,sbloccare
déviation,deviation,abweichung,deviazione
dévisser lappui arobotech,unscrew the arobotech support,die arobotech stütze abschrauben,svitare lappoggio arobotech
dévisser les deux vis cruciformes,unscrew the two crosshead screws,die beiden Kreuzschlitzschrauben herausdrehen,svitare le due viti a croce
dévisser les quatre pieds,unscrew the four feet,die vier Füße abschrauben,svitare i quattro piedi
dévissez et retirez les vis,unscrew and remove the screws,die Schrauben herausdrehen und entfernen,svitare e rimuovere le viti
dûreté,hardness,härte,durezza
e hauteur totale,e total height,e Gesamthöhe,e altezza totale
e s données,data io,daten ea,dati io
eau distillée,distilled water,destilliertes wasser,acqua distillata
ebauche,blank,Rohling,sbozzo
ebauche chargée,loaded blank,geladener Rohling,cilindro grezzo caricato
ebauché,roughing,schruppen,sgrossato
ebauché fini,roughing finishing,schruppen schlichten,sgrossato e finito
ecart maximum conseillé,max recommended difference,maximal empfohlene Abweichung,scarto massimo consigliato
echange périodique des protections transparentes,scheduled replacement of transparent protections,regelmäßiger Austausch der Klarsichtverkleidungen,sostituzione periodica delle protezioni trasparenti
eclairage machine,machine lighting,Maschinenbeleuchtung,illuminazione macchina
ecran ls pro,ls pro screen,bildschirm ls pro,schermata ls pro
ecran tactile,touchscreen,Touchscreen,schermo tattile
ecran tactile crayon,touchscreen stylus,touchscreen stift,schermo tattile penna
ecrire,type,schreiben,scrivere
ecrire macrorobtxt puis sélectionné exec,write macrorobtxt then select exec,macrorobtxt eintragen und anschließend exec wählen,scrivere macrorobtxt e selezionare exec
ecrire para updtxt et presser exec,enter para updtxt and press exec,para updtxt eingeben auf exec drücken,scrivere para updtxt e premere exec
ecrire un programme iso easy,writing an iso easy program,schreiben eines iso easy programms,scrivere un programma iso easy
ecrire un programme iso simple,writing a simple iso program,schreiben eines einfachen iso programms,scrivere un programma iso semplice
ecrou,nut,Mutter,dado
ecrou a,nut a,mutter a,dado a
ecrou serto,serto nut,Serto-Mutter,dado Serto
edit,edit,edit,edit
edit afficher un programme,edit display a program,edit ein programm anzeigen,edit visualizzare un programma
editer une machine ou un groupe,edit a machine or a group,eine maschine oder gruppe bearbeiten,modificare una macchina o un gruppo
editeur d,editor d,Editor d,editore d
effacer,delete,löschen,cancellare
effectuer,perform,durchführen,effettuare
effectuer pos sécurité,move to safety position,sicherheitsposition anfahren,portare in posizione di sicurezza
effectuer un raz axe b,perform a reset of the B axis,ein raz der b achse durchführen,effettuare un azzeramento asse b
effectuer une raz,perform a reset,durchführung eines reset,effettuare un reset
effectuez,carry out,durchführen,effettuare
effectuez cette opération tous les jours,carry out this operation every day,diese Maßnahme täglich durchführen,effettuare quest'operazione ogni giorno
effectuez cette opération tous les mois,perform this operation every month,diese maßnahme alle monate durchführen,effettuare quest'operazione ogni mese
ejection rod,ejection rod,Auswerferstange,asta di espulsione
electrique,electrical,elektrisch,elettrico
electrovannes,solenoid valves,Magnetventile,elettrovalvole
element panneau operateur,operator panel component,Bedienfeldkomponente,elemento pannello operatore
elle doit être à bars,it should be at bar,sie muss auf bar sein,deve essere a bar
elle utilise une meule cloche type,it uses a type cup wheel,sie verwendet eine Topfscheibe vom Typ,utilizza una mola a tazza di tipo
elle utilise une meule périphérique type,it uses a type peripheral wheel,sie verwendet eine Typ-Umfangsschleifscheibe,utilizza una mola periferica di tipo
elles doivent toujours être lues séparément,they must always be read separately,sie müssen immer getrennt gelesen werden,devono sempre essere lette separatamente
elles doivent être remontées m,they must be refitted m,sie müssen wieder angebracht werden m,devono essere rimontate m
elles ont été décrites précédemment,these have been detailed above,diese sind weiter oben beschrieben,queste sono state descritte sopra
elément,component,Bauteil,elemento
elément panneau opérateur,operator panel component,Element des Bedienfelds,elemento pannello operatore
emballage,packaging,verpackung,imballaggio
embonpoint hm,hm tip,HM-Spitze,punta HM
embout hm,HM tip,HM-Spitze,estremità hm
embouts graissage patins,slide roller lubrication nozzles,Endstücke für Schmierung der Führungsschlitten,puntali ingrassaggio pattini
embouts graisseur,lubrication nozzles,Endstücke für Schmiernippel,puntali ingrassatori
embrayage,clutch,Kupplung,frizione
emergency stop button,emergency stop button,Not-Aus-Taster,pulsante di arresto d'emergenza
emf,emf,EMK,fem
emplacement,location,Standort,posizione
emplacement cassette,cassette location,standort kassette,posto cassetta
emplacement dans,location in,Standort in,posizione in
emplacement dans myrollo,location in myrollo,Stelle in myrollo,posizione in myrollo
emplacement dans myrollomatic,location in myrollomatic,Position in myrollomatic,posizione in myrollomatic
emplacement des images des modules,location of module images,speicherort der bilder der module,posizione delle immagini dei moduli
emplacement des modules,module location,speicherort der module,posizione dei moduli
emplacement des modules isoeasy isb,location of isoeasy modules isb,speicherort der isoeasy module isb,posizione dei moduli isoeasy isb
emplacement des modèles,location of templates,Speicherort der Vorlagen,posizione dei modelli
emplacement des programmes,program location,speicherort der programme,posizione dei programmi
emplacement des programmes clients,location of client programs,speicherort der kundenprogramme,posizione dei programmi clienti
emplacement souris,mouse pad,Mausunterlage,posizione del mouse
emporter les copeaux,remove the chips,abführen der Späne,asportare i trucioli
emulsion,emulsion,Emulsion,emulsione
emulsion huile et eau,oil and water emulsion,emulsion öl und wasser,emulsione olio e acqua
en attente avec tasseau,on standby with flange,in Bereitschaft mit Ansatz,in attesa con tassello
en attente vide,on standby empty,in Wartestellung leer,in attesa vuoto
en attente visuel,image pending,abbildung hinzuzufügen,in attesa immagine
en bout centré par serrage,end-centered by clamping,am ende zentriert durch einspannung,allestremità centrato tramite serraggio
en colonne,in column,in Spalte,in colonna
en colonne inversée,in reversed column,in umgekehrter Spaltenanordnung,in colonna invertita
en externe,external,extern,in esterno
en haut à gauche,top left,oben links,in alto a sinistra
en interne,in house,intern,in interno
en iso en,en iso en,en iso en,en iso en
en ligne,in line,in Linie,in linea
en ligne inversée,in reversed row,in umgekehrter Reihe,in linea invertita
en ligne inversée nano,in reversed nano line,in umgekehrter Nano-Linie,in linea nano inversa
en mode,in mode,im modus,in modalità
en mode hnd,in hnd mode,im HND-Modus,in modalità HND
en mode jog,in jog mode,im Jog-Modus,in modalità jog
en mode man ou jog,in man or jog mode,im Hand- oder Jog-Modus,in modalità manuale o jog
en mode manuel,in manual mode,im Handbetrieb,in modalità manuale
en négatif,negative,negativ,negativo
en option,optional,optional,in opzione
en position,in position,in Position,in posizione
en position ii,in position ii,auf position ii stellen,in posizione ii
en position maximum ou minimum,at maximum or minimum position,in maximaler oder minimaler Position,in posizione massima o minima
en renforts abrasifs ou silicium,with abrasive or silicon reinforcements,gehalt an schleifmittel oder siliziumverstärkung,in rinforzi abrasivi o silicio
en réserve,not used,reserve,in riserva
en se déplaçant en,by moving in,durch bewegung in,spostandosi su
en sélectionnant cette option,by selecting this option,durch auswählen dieser option,selezionando questa opzione
en toute sécurité,safe operation,sicherer Betrieb,funzionamento sicuro
encldéclench,on-off,ein-aus,avviamento arresto
encldéclench pc,pc on/off,pc ein/aus,avviamento arresto pc
enclench néon,neon on,Neon einschalten,accensione neon
enclenche les pc console et calcul,switches on the console and calculation PCs,einschalten von konsolen pc und rechen pc,avvia i pc console e calcolo
enclenche léclairage vision,switch on vision lighting,einschalten der beleuchtung vision,attiva lilluminazione vision
enclenchement,activation,Einschalten,avviamento
enclenchement déclenchement et redémarrage,start stop and restart,einschalten ausschalten und neustart,avvio arresto e riavvio
enclenchement déclenchement machine,machine onoff,einschaltenausschalten der maschine,avviamento arresto macchina
enclencher,switch on,einschalten,avviare
enclenchez les pc console et calcul,switch on the console and calculation PCs,den konsolen pc und rechen pc einschalten,avviare i pc console e calcolo
encombrement,overall dimensions,Gesamtabmessungen,ingombro
end mills,end mill,Schaftfräser,fresa cilindrica
end mills measuring,end mill measuring,Messung von Schaftfräsern,misurazione delle frese cilindriche
end rlief,end relief,end rlief ende verjüngung,scarico di testa
enfin fermer,lastly close,abschließend schließen,infine chiudere
enlever et stocker les batteries,remove and store the batteries,batterien entfernen und lagern,rimuovere e stoccare le batterie
enlever les brides,remove the flanges,die Flansche entfernen,rimuovere le flange
enlever les demi lunes clé imbus mm,remove the half-moons with mm Allen key,die halbmonde entfernen mm inbusschlüssel,rimuovere le mezzalune con chiave a brugola mm
enlever les joints o ring,remove the O-rings,die O-Ringe entfernen,rimuovere gli O-ring
enlever les messages,remove the messages,die Meldungen entfernen,cancellare i messaggi
enlever les messages davertissement,remove warning messages,die warnmeldungen entfernen,cancellare i messaggi di avvertimento
enlever les pièces manuellement,remove the workpieces manually,die werkstücke manuell entnehmen,rimuovere i pezzi manualmente
enlever les protections des paramètres,remove parameter protections,den schutz der parameter entfernen,rimuovere le protezioni dei parametri
enlever manuellement les pièces,manually remove the workpieces,die Werkstücke manuell entnehmen,rimuovere manualmente i pezzi
enlever mm par exemple,remove mm for example,mm abziehen zum beispiel,togliere mm ad esempio
enlever tous les accessoires inserts,remove all insert accessories,alles zubehör für die wendeplatten entfernen,rimuovere tutti gli accessori inserti
enlever tous les accessoires inserts et,"remove all accessories, inserts and","alle Zubehörteile, Einsätze und entfernen",rimuovere tutti gli accessori inserti e
enlever un programme,remove a program,ein Programm entfernen,rimuovere un programma
enlever une opération,removing an operation,Entfernen einer Operation,rimuovere un'operazione
enlevez et stockez les batteries,remove and store the batteries,batterien entfernen und lagern,rimuovere e conservare le batterie
enlevez l'ancienne cartouche,remove the old cartridge,die alte Entionisierungskartusche entfernen,rimuovere la vecchia cartuccia
enlèvement des composants avance,removal of feed components,Abtrag der Komponenten Vorschub,rimozione delle componenti avanzamento
enquête en cas dincident ou daccident,investigation in case of incident or accident,untersuchung bei einem zwischenfall oder unfall,indagine in caso di incidente o infortunio
enregistrer,save,speichern,registrare
enregistrer un fichier,save a file,speichern einer datei,salvare un file
ensemble nez tirant,collet adapter drawbar assembly,Baugruppe Spannzangenhalter-Spannrohr,gruppo naso tirante
ensemble pince robot double,double robot gripper assembly,Doppel-Roboter-Greiferbaugruppe,gruppo pinza robot doppia
ensemble pince robot double mors plats,double robot gripper assembly flat jaws,Doppel-Roboter-Greifer-Baugruppe mit flachen Backen,gruppo pinza robot doppia con ganasce piatte
ensuite,then,anschließend,poi
enter,enter,enter,enter
entrainement axe u,u axis drive,antrieb achse u,azionamento asse u
entrainement axe w,w axis drive,antrieb achse w,azionamento asse w
entrainement carré arrière,rear square drive,hinterer Vierkantantrieb,trascinamento quadrato posteriore
entrainement par carré arrière,rear square drive,Vierkantmitnahme,trascinamento posteriore a quadro
entraînement direct,direct drive,Direktantrieb,azionamento diretto
entraînement direct refroidissement interne,direct drive internal cooling,Direktantrieb interne Kühlung,azionamento diretto raffreddamento interno
entraînement par courroie,belt drive,Riemenantrieb,azionamento a cinghia
entre et,between and,zwischen und,tra e
entre et mm,between and mm,zwischen und mm,tra e mm
entre et mmmin,between and mmmin,zwischen und mmmin,tra e mmmin
entre et msec,between and ms,zwischen und ms,tra e msec
entrer ladresse ip,enter the ip address,die ip adresse eingeben,inserire lindirizzo ip
entrer ladresse ip exemple,enter the ip address e.g.,die ip adresse eingeben z. B.,inserire lindirizzo ip esempio
entrer ladresse ip par exemple,enter the ip address for example,die ip adresse eingeben z b,inserire lindirizzo ip ad esempio
entrer ladresse ip unique,enter the unique IP address,folgende einmalige ip adresse eingeben,inserire lindirizzo ip univoco
entretien,maintenance,wartung,manutenzione
entretoise,spacer,Distanzplatte,distanziatore
entrez,enter,eingabe von,inserire
entrez ladresse ip,enter the ip address,ip-adresse eingeben,inserire lindirizzo ip
entrée,input,Eingabe,input
entrée gun généralités,gun entry general,schälanschnitt gun allgemeines,ingresso gun generalità
entrée huile,oil inlet,Öleinlass,entrata olio
entrée paramètres,parameter input,schälanschnitt parameter,entrata parametri
entrée paramètres technologie,technology parameter input,Technologieparameter-Eingabe,entrata parametri tecnologici
entrée ébauche si nécessaire,roughing entry if necessary,schälanschnitt schruppen falls erforderlich,entrata sgrossatura se necessario
entrées sorties,inputs outputs,einfahren ausfahren,entrate uscite
env mm,approx mm,ca mm,circa mm
enveloppe détériorée,damaged cover,beschädigte Hülle,involucro danneggiato
environ,about,etwa,circa
environ minute,about minute,ca. Minute,circa minuto
envoyer f,send f,senden f,inviare f
epaisseur,thickness,dicke,spessore
epaisseur bandeau,band thickness,belagstärke,spessore fascia
epaisseur dâme en bout au rayon,end web thickness at radius,Stegdicke am Stirnende am Radius,spessore dell’anima all’estremità al raggio
epi,ppe,psa,dpi
epointage,gash,Ausspitzung,scarico
epointage boule,ball gash,kugelförmige Ausspitzung,smussatura a sfera
epointage burs end cut,pointing burs end cut,ausspitzung burs end cut,scarico burs end cut
epointage droit,straight gash,gerade Ausspitzung,spuntatura diritta
epointage end cut,pointing end cut,ausspitzung end cut,scarico end cut
epointage s,gash,Ausspitzung,spuntatura
epointage s et épointage droit,S-pointing and straight pointing,S-Ausspitzung und gerade Ausspitzung,spuntatura a S e spuntatura diritta
epointage sur étage,gash on step,ausspitzung auf der stufe,spuntatura su gradino
epointages,gashing,ausspitzungen,scanalature
equilibrage,balancing,auswuchten,bilanciamento
equilibrage indispensable,balancing essential,unverzichtbare Auswuchtung,bilanciatura indispensabile
equipements,equipment,ausrüstung,equipaggiamenti
equipez,equip,ausrüsten,equipaggiare
err lubrification broche haute vitesse,high speed spindle lubrication error,Hochgeschwindigkeitsspindel-Schmierfehler,errore di lubrificazione mandrino ad alta velocità
erreur,error,Fehler,errore
erreur appareil,flipper error,Gerätefehler,errore apparecchio
erreur axe v,error v axis,Fehler V-Achse,errore asse v
erreur axe v pas pret,error v axis not ready,Fehler Achse V nicht bereit,errore asse V non pronto
erreur cache laser,laser cover error,Fehler Laserschutzabdeckung,errore copertura laser
erreur calculation,calculation error,Berechnungsfehler,errore di calcolo
erreur changeur,changer error,Wechslerfehler,errore cambiatore
erreur changeur xd,xd changer error,xd-Wechslerfehler,errore cambio xd
erreur dacquisition,acquisition error,erfassungsfehler,errore di acquisizione
erreur dechargement broche,spindle unloading error,Spindel-Entladefehler,errore di scarico mandrino
erreur delai flutecalcburcalc,fcbc timeout,fcbc Zeitüberschreitung,timeout fcbc
erreur dispositif,device error,Gerätefehler,errore del dispositivo
erreur durant les calculs dans alphacam,error during calculations in alphacam,fehler bei berechnungen in alphacam,errore durante i calcoli in alphacam
erreur déjection,ejection error,Auswurffehler,errore di eiezione
erreur externe g dll,external error g dll,externer fehler g dll,errore esterno g dll
erreur fermeture,workhead lock error,Werkstückspindel-Verriegelungsfehler,errore di chiusura testa portapezzo
erreur fermeture broche,spindle closing error,Spindelschließfehler,errore chiusura mandrino
erreur fermeture poupee,workhead closed error,Fehler Schließen Werkstückspindelstock,errore chiusura testa
erreur fermeture rampe arrosage,coolant ramp closing error,Fehler beim Schließen der Kühlmittelrampe,errore chiusura rampa refrigerante
erreur fermeture refroid,coolant closing error,Fehler beim Schließen des Kühlmittels,errore chiusura refrigerante
erreur frein vl,vl brake error,fehler der vl bremse,errore freno vl
erreur indexation broche,spindle indexing error,Spindel-Indexierungsfehler,errore di indicizzazione mandrino
erreur laser,laser error,Laserfehler,errore laser
erreur niveau dhuile,oil level error,fehler des ölstands,errore livello di olio
erreur ouverture,workhead open error,Werkstückspindel-Öffnungsfehler,errore apertura testa portapezzo
erreur ouverture broche,spindle opening error,Spindelöffnungsfehler,errore apertura mandrino
erreur ouverture poupee,workhead open error,Fehler Öffnen Werkstückspindelstock,errore apertura testa portapezzo
erreur ouverture rampe arrosage,coolant ramp opening error,Fehler beim Öffnen der Kühlmittelrampe,errore apertura rampa di raffreddamento
erreur ouverture refroid,coolant opening error,Kühlmittelöffnungsfehler,errore apertura refrigerante
erreur parametres,error v axis parameter not read,Parameterfehler,errore parametri
erreur pince droite,right gripper error,Fehler der rechten Roboterzange,errore pinza di destra
erreur pince gauche,left gripper error,fehler der linken roboterzange,errore pinza di sinistra
erreur porte,door error,Türfehler,errore porta
erreur position,dressing position error,Positionsfehler beim Abrichten,errore di posizione di ravvivatura
erreur positionlaser,laser position error,Laserpositionsfehler,errore posizione laser
erreur poupee,workhead error,Fehler des Werkstückspindelstocks,errore testa portapezzo
erreur refroidissement laser,laser cooling error,Fehler Laserkühlung,errore di raffreddamento laser
erreur retournement,flipper error,Wendefehler,errore capovolgimento
erreur rouleau,roller error,Fehler der Rolle,errore del rullo
erreur soufflet robot,robot bellows error,fehler faltenbalg roboter,errore soffietto robot
erreur sur dispositif externe,external device error,externer gerätefehler,errore dispositivo esterno
erreur température broche finition,finishing spindle temperature error,Fehler der Schlichtspindeltemperatur,errore temperatura mandrino di finitura
erreur température broche ébauche,roughing spindle temperature error,Fehler der Schruppspindeltemperatur,errore temperatura mandrino di sgrossatura
erreur verin,cylinder error,Zylinderfehler,errore cilindro
erreur verin carrousel,carousel piston error,Karussellzylinderfehler,errore pistone carosello
erreur verin magasin,carousel piston error,fehler zylinder speicher,errore pistone magazzino
erreur verin navette,shuttle cylinder error,Shuttle-Zylinderfehler,errore cilindro navetta
erreur vitesse broche finition,finishing spindle speed error,fehler der schlichtspindeldrehzahl,errore velocità mandrino di finitura
erreur vitesse broche poupée,workhead spindle speed error,fehler der spindeldrehzahl im werkstückspindelstock,errore velocità mandrino testa
erreur vitesse broche ébauche,roughing spindle speed error,Fehler der Schruppspindeldrehzahl,errore velocità mandrino di sgrossatura
erreur vérin,cylinder error,Zylinderfehler,errore cilindro
erreurs caméra,camera errors,Kamerafehler,errori della telecamera
erreurs verin navette,shuttle piston error,Shuttlezylinderfehler,errore pistone navetta
esc,esc,esc,esc
esquisse d,d sketch,d skizze,schizzo d
et au tableau pneumatique,and to the pneumatic panel,zur druckluftschalttafel,e al quadro pneumatico
et complètement stabilisée,and completely stabilized,und vollständig stabilisiert,e totalmente stabilizzata
et journalières devront aussi être effectuées,and daily maintenance must also be carried out,und tägliche Wartungen müssen ebenfalls durchgeführt werden,e giornaliere dovranno anchesse essere eseguite
et laissez couler leau dans,and let the water flow into,und lassen Sie das Wasser in,e lasciare scorrere lacqua nel
et mobiles,and movable,und beweglich,e mobili
et passer à l'étape,and move to the step,und zum Schritt übergehen,e passare all'operazione
et pneumatique,and pneumatic,und pneumatisch,e pneumatica
et tous les autres appareils connectés,and all other connected devices,und alle anderen angeschlossenen geräte,e tutti gli altri apparecchi collegati
et un filtre,and a filter,und ein Filter,e un filtro
etape,step,Schritt,tappa
etapes,steps,schritte,operazioni
etc,etc,usw,ecc
etc maxi passes,max passes etc,max. Durchgänge usw.,ecc max passate
ethernet,ethernet,ethernet,ethernet
etincelage,sparking,Funkenerosion,scintillatura
evacuation des vapeurs dhuile,evacuation of oil fumes,Öldampfabsaugung,evacuazione dei vapori d'olio
eventuellement re meuler loutil,"if necessary, regrind the tool",bei bedarf das werkzeug nachschleifen,eventualmente riaffilare l'utensile
eviter les chocs durant les déplacements,avoid impacts during moving operations,während der Bewegungen Stöße vermeiden,evitare gli urti durante gli spostamenti
excentrique,eccentric,Exzenter,eccentrica
exception,exception,Ausnahme,eccezione
exec,exec,exec,exec
exemple,example,beispiel,esempio
exemple bord rayon segment,example edge radius segment,beispiel nr kante mit radius segment,esempio bordo raggio segmento
exemple broches porte meules,example grinding wheel spindles,Beispiel Schleifscheibenspindeln,esempio mandrini portamole
exemple ci dessous,example below,Beispiel unten,esempio sotto
exemple dun profil paramétré,example of a configured profile,beispiel für ein parametrisches profil,esempio di un profilo parametrato
exemple dutilisation,example of use,anwendungsbeispiel,esempio di utilizzo
exemple meule cylindrique segment,example cylindrical grinding wheel segment,beispiel nr zylindrische schleifscheibe segment,esempio mola cilindrica segmento
exemple outil,example tool,Beispielwerkzeug,utensile di esempio
exemples,examples,beispiele,esempi
exemples d'une codification complète cafro,examples of a complete cafro coding,beispiele einer vollständigen codierung cafro,esempi di una codifica completa cafro
exercices,exercises,Übungen,esercizi
explication,explanation,erläuterung,spiegazione
explication des termes techniques,explanation of technical terms,erläuterung der technischen ausdrücke,spiegazioni dei termini tecnici
explication observation,explanation observation,Erklärung Beobachtung,spiegazione osservazione
exploitant,plant operator,Anlagenbediener,operatore dell'impianto
explosion feu,fire explosion,explosion feuer,esplosione incendio
exporter,export,export,esportare
exporter les paramètres robot voir chapitre,export the robot parameters see chapter,die roboterparameter exportieren siehe kapitel,esportare i parametri robot vedi capitolo
exporter sauvegarder une cassette personnalisée,export save a custom cassette,benutzerdefinierte Kassette exportieren sichern,esportare salvare una cassetta personalizzata
exporter sauvegarder une pince personnalisée,export save a custom clamping collet,benutzerdefinierte Spannzange exportieren sichern,esportare salvare una pinza personalizzata
exposition au champ magnétique,exposure to magnetic field,Belastung durch Magnetfelder,esposizione al campo magnetico
exposition maximale tolérée,maximum permissible exposure,zulässige Höchstexposition,esposizione massima consentita
ext,grippers,Greifer,pinze
extension,extension,Erweiterung,estensione
extension whs,extension whs,Erweiterung WHS,estensione WHS
extern prog,external program,externes Programm,programma esterno
external device error,external device error,Alarm externes Gerät,errore dispositivo esterno
external robot,external robot xd,externer roboter,robot esterno
external robot timeout,external robot timeout,externer roboter timeout,timeout robot esterno
extracteur,extractor,Abzieher,estrattore
exécutable,executable file,ausführbare Datei,file eseguibile
exécute lexplorateur windows,runs the Windows Explorer,führt den windows explorer aus,esegue lesploratore windows
exécuter,execute,ausführen,eseguire
exécuter lauto calibration,perform auto calibration,eine autokalibrierung durchführen,eseguire lautocalibratura
exécuter un déplacement latéral,apply a lateral displacement,eine seitliche Verschiebung ausführen,eseguire uno spostamento laterale
exécuter un raz w,perform a w reset,ein raz w durchführen,eseguire un azzeramento w
exécutez,perform,richtig vorgehen,eseguire
exécution d'une fonction jugée dangereuse,performance of a function considered dangerous,Ausführung einer als gefährlich eingestuften Funktion,esecuzione di una funzione ritenuta pericolosa
exécuté,executed,ausgeführt,eseguito
f es donnees,f data io,f daten ea,f es dati
f hauteur utile,f useful height,f nutzbare höhe,f altezza utile
f sortie,f output,f Ausgang,f uscita
f utiliser afficher,f operate display,f vorgang anzeige,f utilizzare visualizzare
fabricant,manufacturer,Hersteller,fabbricante
face,face,seite,faccia
face arrière rl mm,back face rl mm,rückseite rl mm,lato posteriore rl mm
face avant,front face,Vorderseite,faccia anteriore
face avant centré par palpage,front face centered using probing,Vorderseite zentriert durch Antastung,lato anteriore centrato tramite tastatura
face d'appui,supporting face,Auflagefläche,faccia di appoggio
face d'appui plate,flat support face,flache Auflagefläche,superficie di appoggio piana
face d'appui v,V-shaped support face,V-förmige Auflagefläche,superficie di appoggio a V
face d'appui verticale,vertical support face,vertikale Auflagefläche,superficie di appoggio verticale
face dappui z,z bearing face,Z-Auflagefläche,superficie di appoggio z
face des vis en retrait,face with screws below flush,Stirnseite mit zurückgesetzten Schrauben,faccia delle viti rientranti
face supérieure,top face,Oberseite,lato superiore
faces cachées,hidden faces,verdeckte seiten,lati nascosti
faces ci solution,ci faces solution,ci flächen lösung,lati ci soluzione
facorr,rapid traverse,eilgang,avanzamento rapido
facteur py,pi factor,Pi-Faktor,fattore py
facteurs d'influence des avances,influence factors of feeds,einflussfaktoren der vorschübe,fattori d'influenza degli avanzamenti
faire attention aux collisions,watch out for collisions,vor Kollisionen in Acht nehmen,stare attenti alle collisioni
faire des facettes,make facets,Facetten machen,realizzare delle faccette
faire les références,perform references,Referenzen durchführen,creare i riferimenti
faire les références des axes raz,reference the axes raz,die achsen referenzieren raz,creare i riferimenti degli assi raz
faire tourner l'axe,rotate the axis,die Achse drehen,far ruotare l'asse
faire un,perform a,ein,effettuare un
faire un programme isoeasy comme ci après,create an isoeasy program as follows,ein isoeasy programm wie folgt erstellen,creare un programma isoeasy come segue
faire un raz,zero reset,ein raz machen,fare un azzeramento
faire un transfert dans ng,perform a transfer in ng,eine übertragung in ng vornehmen,effettuare un trasferimento in ng
faire une ère simulation,run a first simulation,eine erste Simulation durchführen,eseguire una prima simulazione
faisabilité,feasibility,Machbarkeit,fattibilità
faisceau,harness,Kabelbaum,cablaggio
faisceau laser,laser beam,Laserstrahl,fascio laser
faites un raz après désactivation,perform a zero reset after deactivation,nach der Deaktivierung ein Nullabgleich durchführen,fare un azzeramento dopo disattivazione
faites un raz des axes,perform an axes reset,ein raz der achsen durchführen,fare un azzeramento degli assi
faites une procédure raz,carry out a zero reset procedure,ein raz verfahren durchführen,fare una procedura di azzeramento
familles f f,f f families,f f Familien,famiglie f f
fan,fan,Lüfter,ventilatore
fan année mois jourpar,fan year month dayby,fan jahr monat tagvon,fan anno mese giornoda
fancu paramètres,fancu parameters,Fancu-Parameter,parametri fancu
fanuc,fanuc,fanuc,fanuc
fanuc card reader,fanuc card reader,Fanuc-Kartenleser,lettore di schede Fanuc
faux rond,runout,Rundlauffehler,errore di concentricità
faux rond runout,runout,rundlauffehler runout,falso tondo runout
fax,fax,fax,fax
fb enclenchement alarme,fb alarm activation,fb Alarmaktivierung,fb attivazione allarme
fcbc error,fcbc error,fcbc fehler,errore fcbc
fcbc timeout,fcbc timeout,fcbc timeout,timeout fcbc
feed override,feed override,Vorschubübersteuerung,feed override
femelle,female,aufschraubverbindung,femmina
fenêtre,window,Fenster,finestra
fenêtre texte et tableaux texte conditionnel,text and tables window conditional text,fenster text und tabellen bedingter text,finestra testo e tabelle testo condizionale
fenêtre vgpro,vgpro window,vgpro fenster,finestra vgpro
fenêtres,windows,windows,finestre
fepa,FEPA,fepa,FEPA
ferme lapplication,close the application,schließen der Anwendung,chiudere l'applicazione
fermer,close,schließen,chiudere
fermer cette porte,close this door,diese Tür schließen,chiudere questa porta
fermer et redémarrer vgpro,close and restart vgpro,vgpro schließen und neu starten,chiudere e riavviare vgpro
fermer lapplication,close the application,schlieen der anwendung,chiudere lapplicazione
fermer les portes,close the doors,die Türen schließen,chiudere le porte
fermer les portes manuellement,close the doors manually,die türen manuell schlieen,chiudere le porte manualmente
fermer nanogrind,close nanogrind,nanogrind schließen,chiudere nanogrind
fermer tous les panneaux d'accès,close all access panels,alle Abdeckungen schließen,chiudere tutti i pannelli di accesso
fermer tous les panneaux daccès,close all access panels,alle abdeckungen schliessen,chiudere tutti i pannelli di accesso
fermer tous les programmes,close all programs,alle programme schließen,chiudere tutti i programmi
fermer toutes les portes,close all doors,alle türen schließen,chiudere tutte le porte
fermeture des portes d'accès avant,closing of the front access doors,schließen der vorderen Zugangstüren,chiusura porte di accesso anteriori
fermez et verrouillez les portes,close and lock the doors,türen schließen und verriegeln,chiudere e bloccare le porte
fermez la et refaites un start,close it and restart,schlieen und einen start durchführen,chiudila e riavvia
fermez tous les panneaux daccès,close all access panels,alle zugangspaneele schließen,chiudere tutti i pannelli di accesso
fermez toutes les portes daccès,close all access doors,alle zugangstüren schlieen,chiudere tutte le porte di accesso
